PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.882210,0.036141,11.039870
55.0000,4.656857,0.039767,10.525498
60.0000,4.460078,0.044657,10.076914
65.0000,4.286305,0.051379,9.681194
70.0000,4.131377,0.057587,9.328708
75.0000,3.992119,0.062644,9.012117
80.0000,3.866055,0.068301,8.725715
85.0000,3.751226,0.073301,8.464991
90.0000,3.646055,0.081271,8.226322
95.0000,3.549261,0.088501,8.006767
100.0000,3.459789,0.094730,7.803901
105.0000,3.376758,0.101103,7.615713
110.0000,3.299432,0.106954,7.440514
115.0000,3.227185,0.112434,7.276876
120.0000,3.159486,0.117726,7.123580
125.0000,3.095876,0.122886,6.979581
130.0000,3.035959,0.128340,6.843976
135.0000,2.979392,0.133256,6.715979
140.0000,2.925873,0.136892,6.594906
145.0000,2.875138,0.139974,6.480153
150.0000,2.826954,0.141800,6.371189
155.0000,2.781114,0.143145,6.267543
160.0000,2.737435,0.142976,6.168796
165.0000,2.695750,0.141636,6.074574
170.0000,2.655914,0.139198,5.984542
175.0000,2.617793,0.134978,5.898398
180.0000,2.581267,0.130635,5.815869
185.0000,2.546229,0.126345,5.736711
190.0000,2.512581,0.122354,5.660699
195.0000,2.480232,0.118877,5.587631
200.0000,2.449101,0.116264,5.517321
205.0000,2.419113,0.114522,5.449601
210.0000,2.390201,0.113524,5.384314
215.0000,2.362301,0.113838,5.321319
220.0000,2.335356,0.114573,5.260484
225.0000,2.309313,0.115313,5.201689
230.0000,2.284121,0.116399,5.144823
235.0000,2.259737,0.117945,5.089782
240.0000,2.236117,0.119598,5.036470
245.0000,2.213223,0.121273,4.984799
250.0000,2.191018,0.123210,4.934687
255.0000,2.169468,0.125366,4.886056
260.0000,2.148541,0.127458,4.838835
265.0000,2.128209,0.129587,4.792957
270.0000,2.108443,0.131870,4.748360
275.0000,2.089218,0.134452,4.704985
280.0000,2.070510,0.137035,4.662778
285.0000,2.052295,0.139350,4.621686
290.0000,2.034552,0.141554,4.581662
295.0000,2.017262,0.143719,4.542660
300.0000,2.000406,0.145878,4.504638
305.0000,1.983965,0.148063,4.467554
310.0000,1.967922,0.150344,4.431372
315.0000,1.952263,0.152657,4.396054
320.0000,1.936972,0.154867,4.361568
325.0000,1.922034,0.157000,4.327881
330.0000,1.907437,0.159113,4.294962
335.0000,1.893168,0.161225,4.262784
340.0000,1.879214,0.163357,4.231318
345.0000,1.865564,0.165544,4.200539
350.0000,1.852207,0.167902,4.170421
355.0000,1.839133,0.170300,4.140943
360.0000,1.826332,0.172588,4.112081
365.0000,1.813795,0.174730,4.083814
370.0000,1.801512,0.176768,4.056122
375.0000,1.789476,0.178747,4.028986
380.0000,1.777678,0.180686,4.002387
385.0000,1.766110,0.182600,3.976308
390.0000,1.754764,0.184504,3.950733
395.0000,1.743635,0.186420,3.925645
400.0000,1.732715,0.188397,3.901028
405.0000,1.721998,0.190445,3.876869
410.0000,1.711477,0.192411,3.853154
415.0000,1.701146,0.194269,3.829868
420.0000,1.691000,0.196009,3.806999
425.0000,1.681034,0.197683,3.784536
430.0000,1.671242,0.199311,3.762465
435.0000,1.661619,0.200901,3.740776
440.0000,1.652160,0.202453,3.719458
445.0000,1.642862,0.204000,3.698500
450.0000,1.633718,0.205547,3.677892
455.0000,1.624725,0.207100,3.657626
460.0000,1.615879,0.208562,3.637690
465.0000,1.607177,0.209971,3.618077
470.0000,1.598613,0.211323,3.598778
475.0000,1.590185,0.212613,3.579784
480.0000,1.581888,0.213868,3.561088
485.0000,1.573720,0.215084,3.542682
490.0000,1.565678,0.216258,3.524559
495.0000,1.557757,0.217403,3.506711
500.0000,1.549956,0.218514,3.489131
505.0000,1.542270,0.219600,3.471813
510.0000,1.534698,0.220664,3.454750
515.0000,1.527236,0.221702,3.437936
520.0000,1.519882,0.222709,3.421366
525.0000,1.512633,0.223682,3.405033
530.0000,1.505487,0.224622,3.388931
535.0000,1.498441,0.225537,3.373056
540.0000,1.491493,0.226422,3.357402
545.0000,1.484641,0.227286,3.341964
550.0000,1.477883,0.228124,3.326737
555.0000,1.471216,0.228943,3.311716
560.0000,1.464638,0.229745,3.296896
565.0000,1.458148,0.230541,3.282274
570.0000,1.451744,0.231325,3.267845
575.0000,1.445423,0.232084,3.253604
580.0000,1.439184,0.232822,3.239548
585.0000,1.433025,0.233528,3.225673
590.0000,1.426944,0.234215,3.211974
595.0000,1.420940,0.234878,3.198449
600.0000,1.415012,0.235524,3.185093
605.0000,1.409156,0.236152,3.171902
610.0000,1.403373,0.236766,3.158875
615.0000,1.397661,0.237367,3.146006
620.0000,1.392018,0.237958,3.133294
